Id_juego,Nombre,Desarrollador,Año_lanzamiento,Género
711440,Mortars VR,N/D,2018,"Action, Casual, Indie, Strategy, Early Access"
775880,RC Plane 3 - Canyon Scenario,FrozenPepper,2017,"['Racing', 'Simulation', 'Sports']"
775881,RC Plane 3 - F-53B,FrozenPepper,2017,"['Racing', 'Simulation', 'Sports']"
653960,DinoBlaster,Casey Labrack,2018,"['Action', 'Indie']"
777910,Robotpencil Presents: Understanding 3D for Concept,N/D,2018,['Design & Illustration']
282010,Carmageddon Max Pack,Stainless Games Ltd,1997,"['Action', 'Indie', 'Racing']"
70,Half-Life,Valve,1998,['Action']
752360,Fallen Mage,dev4play,2016,"['Action', 'Indie', 'RPG']"
594200,Don't Get Hit In The Face,N/D,2017,"Action, Indie"
520680,Lost Cities,BlueLine Games,2018,"['Casual', 'Indie', 'Strategy']"
690410,Twisted Enhanced Edition,Games by Brundle,2018,['Action']
766850,Vaporwave Simulator,ETGgames,2018,"['Casual', 'Indie', 'Simulation']"
413120,Tactics Forever,ProjectorGames,2018,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']"
773120,Christmas Santa Troubles,Unknown Indie Devs,2017,"['Adventure', 'Casual', 'Indie']"
680970,Kingdom Watcher,N/D,2018,"Action, Indie, Sports, Strategy, Early Access"
754360,Underdone - Soundtrack,The Commander,2018,"['Action', 'Adventure', 'RPG']"
716110,Bitcoin Clicker,"lalalaZero,Urbanoff",2018,"['Adventure', 'Casual', 'Indie', 'RPG']"
1640,Disciples II: Gallean's Return,Strategy First,2006,['Strategy']
1630,Disciples II: Rise of the Elves,Strategy First,2006,['Strategy']
2400,The Ship: Murder Party,Outerlight Ltd.,2006,"['Action', 'Indie', 'RPG']"
662570,United Tactics,Zachary M Thomas,N/D,['Strategy']
381620,Life of Rome,Breakout Studio,2017,"['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']"
714020,Idle Adventure,"zha7,Phaedruns,Yingke Wu",2018,"['Adventure', 'Free to Play', 'RPG', 'Early Access']"
541930,Panoptic,N/D,2020,"Action, Indie"
759920,Souland,Ultraint,2017,"['Action', 'Indie', 'Strategy', 'Early Access']"
659780,Darkness and a Crowd,Seth Albertus,2018,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']"
603280,TAROTICA VOO DOO,TPM.CO SOFT WORKS,2017,"['Action', 'Adventure', 'Indie', 'RPG']"
753110,Chronicles of Vinland,Wonderbox Games,2017,"['Casual', 'Strategy', 'Early Access']"
753100,Orbitality,Wonderbox Games,2017,"['Action', 'Indie']"
769350,Medicalholodeck Personal Version,N/D,N/D,['Education']
764280,Atomic Adam: Episode 1,Mad Unicorn Games,2017,"['Action', 'Adventure', 'Casual']"
374970,Golf Masters,N/D,2020,"Casual, Indie, Simulation, Sports"
758550,Mirt. Tales of the Cold Land. Chapter 2,Emanon Studios,2017,"['Adventure', 'Casual', 'Free to Play', 'Indie']"
3800,Advent Rising,GlyphX Games,2005,['Action']
1520,DEFCON,Introversion Software,2006,"['Indie', 'Strategy']"
2420,The Ship: Single Player,Outerlight Ltd.,2006,"['Action', 'Indie', 'RPG']"
4000,Garry's Mod,Facepunch Studios,2006,"['Indie', 'Simulation']"
4230,RACE - The WTCC Game,SimBin,2006,['Racing']
4900,Zen of Sudoku,Unknown Worlds Entertainment,2006,"['Casual', 'Indie']"
2520,Gumboy - Crazy Adventures™,"CINEMAX, s.r.o.",2006,"['Casual', 'Indie']"
6200,Ghost Master®,Sick Puppies,2003,['Strategy']
6210,Vegas: Make It Big™,Deepred,2006,['Strategy']
6300,Dreamfall: The Longest Journey,Funcom,2006,"['Adventure', 'RPG']"
2990,FlatOut 2™,Bugbear Entertainment,2006,['Racing']
6220,FlatOut,Bugbear Entertainment,2005,['Racing']
6510,Lost Planet™: Extreme Condition,"CAPCOM Co., Ltd.",2007,"['Action', 'Adventure']"
3980,CivCity: Rome,"FireFly Studios,Firaxis Games",2006,['Strategy']
1700,Arx Fatalis,Arkane Studios,2002,['RPG']
6310,The Longest Journey,Funcom,2000,"['Action', 'Adventure', 'RPG']"
3990,Civilization IV®: Warlords,Firaxis Games,2006,['Strategy']
7610,Railroad Tycoon 3,PopTop,2003,['Strategy']
7600,Sid Meier's Railroads!,"Firaxis Games,Feral Interactive (Mac)",2006,['Strategy']
7620,Railroad Tycoon II Platinum,PopTop,1998,['Strategy']
2540,RIP - Trilogy™,Elephant Games,2007,"['Casual', 'Indie']"
7650,X-COM: Terror From the Deep,"MicroProse Software, Inc",1995,['Strategy']
8000,Tomb Raider: Anniversary,"Crystal Dynamics,Feral Interactive (Mac)",2007,"['Action', 'Adventure']"
6550,Devil May Cry® 3 Special Edition,"CAPCOM Co., Ltd.",2006,['Action']
8200,Sam & Max 101: Culture Shock,Telltale Games,2006,"['Action', 'Adventure']"
2290,Final DOOM,id Software,1996,['Action']
2570,Vigil: Blood Bitterness™,Freegamer,2007,"['Indie', 'RPG']"
8210,Sam & Max 102: Situation: Comedy,Telltale Games,2006,"['Action', 'Adventure']"
2280,Ultimate Doom,id Software,1995,['Action']
9160,Master Levels for Doom II,id Software,1995,['Action']
2300,DOOM II,id Software,1994,['Action']
2270,Wolfenstein 3D,id Software,1994,['Action']
9010,Return to Castle Wolfenstein,Gray Matter Studios,2001,['Action']
9040,QUAKE Mission Pack 1: Scourge of Armagon,Ritual Entertainment,1997,['Action']
9000,Spear of Destiny,id Software,1993,['Action']
3810,BloodRayne,Terminal Reality,2003,['Action']
9030,QUAKE Mission Pack 2: Dissolution of Eternity,Rogue Entertainment,2007,['Action']
2310,QUAKE,id Software,2007,['Action']
3230,Genesis Rising,Metamorf,2007,['Strategy']
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",Relic Entertainment,2006,['Strategy']
7670,BioShock™,"2K Boston,2K Australia",2007,"['Action', 'RPG']"
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",Relic Entertainment,2006,['Strategy']
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",Relic Entertainment,2006,['Strategy']
4760,Rome: Total War™ - Collection,The Creative Assembly,2004,['Strategy']
4770,Rome: Total War™ - Alexander,The Creative Assembly,2006,['Strategy']
50970,Mystery Case Files: Madame Fate®,Big Fish Games,2007,['Casual']
12170,Grand Theft Auto,Rockstar North,1998,['Action']
12180,Grand Theft Auto 2,Rockstar North,1999,['Action']
12130,Manhunt,Rockstar North,2004,['Action']
12160,Midnight Club 2,Rockstar San Diego,2003,['Racing']
12150,Max Payne 2: The Fall of Max Payne,Remedy Entertainment,2003,['Action']
7000,Tomb Raider: Legend,Crystal Dynamics,2006,"['Action', 'Adventure']"
12140,Max Payne,Remedy Entertainment,2001,['Action']
17480,Command & Conquer: Red Alert 3,EA Los Angeles,2008,['Strategy']
12500,PuzzleQuest: Challenge of the Warlords,Infinite Interactive,2007,['Casual']
12310,Culpa Innata,Momentum Digital Media Technologies,2007,"['RPG', 'Casual', 'Adventure']"
12510,Prison Tycoon 3™: Lockdown,"Gamebryo,Virtual Playground",2007,['Strategy']
12530,Hunting Unlimited™ 2008,SCS Software,2007,"['Action', 'Adventure', 'Strategy']"
12520,18 Wheels of Steel: American Long Haul,SCS Software,2007,['Racing']
8100,Conflict: Denied Ops,Pivotal Games,2008,['Action']
2780,ARMA: Combat Operations,Bohemia Interactive,2007,['Action']
9730,Tycoon City: New York,Retroism,2006,['Simulation']
9710,Desperados 2: Cooper's Revenge,Spellbound,2006,['Action']
9800,Death to Spies,Haggard Games,2007,"['Action', 'Adventure']"
9760,Act of War: High Treason,Eugen Systems,2006,['Action']
2700,RollerCoaster Tycoon® 3: Platinum,"Frontier,Aspyr (Mac)",2006,"['Simulation', 'Strategy']"
2710,Act of War: Direct Action,Eugen Systems,2005,['Action']
13200,Unreal 2: The Awakening,"Epic Games, Inc.",2003,['Action']
13250,Unreal Gold,"Epic Games, Inc.",1998,['Action']
13000,Ninja Reflex: Steamworks Edition,Sanzaru Games,2008,"['Casual', 'Indie']"
13560,Tom Clancy's Splinter Cell®,Ubisoft,2003,['Action']
13520,Far Cry®,Crytek Studios,2004,['Action']
13240,Unreal Tournament: Game of the Year Edition,"Epic Games, Inc.",2000,['Action']
13540,Tom Clancy's Rainbow Six® Vegas,Ubisoft Montreal,2006,['Action']
15210,Silent Hunter® III,Ubisoft,2005,['Simulation']
16180,Virtual Villagers - The Secret City,Last Day of Work,2008,"['Casual', 'Simulation']"
3520,Mystery P.I.™ - The Vegas Heist,SpinTop Games,2008,['Casual']
15970,Luxor,MumboJumbo,2008,['Casual']
15950,Reaxxion,MumboJumbo,2008,['Casual']
15960,Little Farm,MumboJumbo,2008,['Casual']
15900,7 Wonders II,MumboJumbo,2008,['Casual']
15910,Luxor Amun Rising,MumboJumbo,2005,['Casual']
15930,Luxor 3,MumboJumbo,2007,['Casual']
15160,Petz® Horsez® 2,Ubisoft,2007,['Simulation']
15920,Luxor 2,MumboJumbo,2005,['Casual']
15080,Rayman Raving Rabbids™,"Ubisoft Bulgaria,Ubisoft Montpellier",2007,"['Action', 'Adventure']"
15200,Silent Hunter®: Wolves of the Pacific,Ubisoft Romania,2007,['Simulation']
15320,IL-2 Sturmovik: 1946,1C: Maddox Games,2006,['Simulation']
15240,Silent Hunter®: Wolves of the Pacific U-Boat Missions,Ubisoft Romania,2008,['Simulation']
8310,Bone: Out From Boneville,Telltale Games,2005,['Adventure']
12600,Midnight Outlaw: 6 Hours to SunUp,"Merscom,Babylon",2005,['Racing']
8320,Bone: The Great Cow Race,Telltale Games,2006,['Adventure']
12590,Sprint Cars Road to Knoxville,BigAnt Studios,2008,['Racing']
12580,Dr. Daisy Pet Vet,Zemnott,2008,['Casual']
12560,Ride! Carnival Tycoon,Gabriel Entertainment,2007,['Simulation']
12570,Hot Dish,Zemnott,2008,['Casual']
12540,Mahjongg Investigations: Under Suspicion,Zemnott,2007,['Casual']
11050,Dracula Origin,Frogwares,2008,['Adventure']
10520,Beijing 2008™ - The Official Video Game of the Olympic Games,Eurocom,2008,['Sports']
11040,Sherlock Holmes - Nemesis,Frogwares,2008,"['Adventure', 'RPG']"
19500,Eternity's Child,"Luc Bernard,SilverSphereStudios",2008,"['Adventure', 'Indie']"
11260,Pacific Storm Allies,Lesta Studio,2007,"['Simulation', 'Strategy']"
19200,Tank Universal,Dialogue Design,2008,"['Action', 'Indie']"
12360,FlatOut: Ultimate Carnage,Bugbear Entertainment,2008,['Racing']
15710,Oddworld: Abe's Exoddus®,Oddworld Inhabitants,1998,['Adventure']
15700,Oddworld: Abe's Oddysee®,Oddworld Inhabitants,1997,['Adventure']
8660,GTR Evolution Expansion Pack for RACE 07,SimBin,2008,['Racing']
7770,X-COM: Enforcer,"MicroProse Software, Inc",2001,['Strategy']
7660,X-COM: Apocalypse,"MicroProse Software, Inc",1997,['Strategy']
7760,X-COM: UFO Defense,"MicroProse Software, Inc",1993,['Strategy']
20510,S.T.A.L.K.E.R.: Clear Sky,GSC Game World,2008,"['Action', 'RPG']"
17330,Crysis Warhead®,Crytek,2008,['Action']
17300,Crysis,Crytek,2007,['Action']
7730,X-COM: Interceptor,"MicroProse Software, Inc",1998,['Strategy']
20900,The Witcher: Enhanced Edition Director's Cut,CD PROJEKT RED,2008,"['Action', 'RPG']"
1530,Multiwinia,Introversion Software,2008,['Indie']
8690,STCC - The Game 1 - Expansion Pack for RACE 07,SimBin,2008,['Racing']
17120,Children of the Nile: Alexandria,"Tilted Mill Entertainment, Inc.",2008,"['Strategy', 'Simulation']"
16810,Sid Meier's Civilization IV: Colonization,Firaxis Games,2008,['Strategy']
19830,Tom Clancy's Rainbow Six® 3 Gold,"Red Storm Entertainment,Ubisoft Montreal",2003,['Action']
21000,LEGO Batman,Traveller's Tales,2008,"['Action', 'Adventure']"
4460,City Life 2008,Monte Cristo,2008,"['Simulation', 'Strategy']"
17140,Hinterland,"Tilted Mill Entertainment, Inc.",2008,"['RPG', 'Strategy']"
15390,Brothers in Arms: Hell's Highway™,Gearbox Software,2008,['Action']
21300,Gravitron 2,Dark Castle Software,2008,"['Indie', 'Casual']"
3050,Xpand Rally Xtreme,Techland,2006,['Racing']
15380,Heroes of Might & Magic V: Hammers of Fate,Nival,2006,['Strategy']
19800,Brothers in Arms: Earned in Blood™,Gearbox Software,2005,['Action']
15370,Heroes of Might & Magic V: Tribes of the East,Nival,2007,['Strategy']
19930,The Settlers®: Rise Of An Empire Gold Edition,Blue Byte,2008,['Strategy']
15350,Brain Spa,Ubisoft,2007,['Casual']
19810,The Sum of All Fears,Red Storm Entertainment,2002,['Action']
3540,Peggle™ Nights,"PopCap Games, Inc.",2008,['Casual']
22000,World of Goo,2D BOY,2008,['Indie']
2820,X3: Terran Conflict,Egosoft,2008,"['Action', 'Simulation', 'Strategy']"
1230,Mare Nostrum,Sandstorm Productions,2008,['Action']
18300,Spectraball,Shorebound Studios,2008,"['Casual', 'Indie']"
20200,Galactic Bowling,Perpetual FX Creative,2008,"['Indie', 'Casual', 'Sports']"
12200,Bully: Scholarship Edition,Rockstar New England,2008,"['Action', 'Adventure']"
19900,Far Cry® 2: Fortune's Edition,Ubisoft Montreal,2008,['Action']
11240,Space Trader: Merchant Marine,Meridian4,2008,"['Action', 'Indie', 'Strategy']"
256522,PRR Wagon Pack 01,RailSimulator.com,2009,['Simulation']
275144,"Class 421 London South East ""Jaffa Cake""",RailSimulator.com,2009,['Simulation']
256521,ATSF Wagon Pack 01,RailSimulator.com,2009,['Simulation']
222569,GP20 Union Pacific Add-on Livery,Reppo,2009,['Simulation']
256535,UK Van Wagon Pack,RailSimulator.com,2009,['Simulation']
256611,CSX SD70MAC Add-on Livery,Dovetail Games,2009,['Simulation']
256576,CSX ES44AC Add-on Livery,Dovetail Games,2009,['Simulation']
9480,Saints Row 2,Volition,2009,['Action']
17470,Dead Space,EA Redwood Shores,2008,['Action']
12770,Rise of the Argonauts,Liquid Entertainment,2008,['RPG']
17410,Mirror's Edge™,DICE,2009,"['Action', 'Adventure']"
18500,Defense Grid: The Awakening,Hidden Path Entertainment,2008,"['Indie', 'Strategy']"
16450,F.E.A.R. 2: Project Origin,Monolith,2009,['Action']
15400,Harvest: Massive Encounter,Oxeye Game Studio,2008,"['Strategy', 'Indie']"
18600,Mayhem Intergalactic,Inventive Dingo,2007,"['Indie', 'Strategy']"
11340,Larva Mortus,Meridian4,2009,"['Action', 'Indie']"
25830,Knights of Honor,Black Sea Studios Ltd,2005,['Strategy']
23460,Ceville,Realmforge Studios,2009,"['Action', 'Adventure', 'Strategy']"
10600,Empire: Total War™ - Special Forces Units & Bonus Content,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2009,['Strategy']
21010,Watchmen: The End is Nigh,Deadline Games,2009,['Action']
22180,Penumbra Overture,Frictional Games,2007,"['Action', 'Adventure', 'Indie']"
13210,Unreal Tournament 3 Black,"Epic Games, Inc.",2007,['Action']
12640,Drakensang,Radon Labs,2009,['RPG']
21600,Age of Booty™,Certain Affinity™,2009,"['Casual', 'Strategy']"
27020,The Graveyard,Tale of Tales,2008,"['Indie', 'Simulation']"
24740,Burnout Paradise: The Ultimate Box,Criterion Games,2009,['Racing']
90047,Zombie Master,Zombie Master Team,2009,['Action']
26000,The Maw,Twisted Pixel Games,2009,"['Action', 'Indie']"
26006,The Maw: River Redirect,Twisted Pixel Games,2009,"['Action', 'Indie']"
26005,The Maw: Brute Force,Twisted Pixel Games,2009,"['Action', 'Indie']"
11330,Obulis,IonFX,2009,"['Casual', 'Indie']"
27800,Space Giraffe,Llamasoft LTD,2009,['Indie']
9850,Codename: Panzers - Cold War,"InnoGlow,Stormregion,THQ Nordic",2009,"['Simulation', 'Strategy']"
3600,Escape Rosecliff Island,SpinTop Games,2009,['Casual']
29580,Guild Wars Nightfall,ArenaNet®,2006,"['RPG', 'Massively Multiplayer']"
29540,Guild Wars,ArenaNet®,2005,"['RPG', 'Massively Multiplayer']"
29560,Guild Wars Factions,ArenaNet®,2006,"['RPG', 'Massively Multiplayer']"
29570,Guild Wars Trilogy,ArenaNet®,2008,"['Massively Multiplayer', 'RPG']"
23700,Puzzle Kingdoms,Infinite Interactive,2009,['Casual']
16060,Samantha Swift and the Golden Touch,MumboJumbo,2009,['Casual']
1930,Two Worlds Epic Edition,Reality Pump Studios,2009,['RPG']
18470,Helldorado,Spellbound,2009,['Strategy']
7510,X-Blades,Gaijin Entertainment,2009,"['Action', 'Adventure', 'RPG']"
22200,Zeno Clash,ACE Team,2009,"['Action', 'Indie']"
26007,The Maw: Speeder Lane,Twisted Pixel Games,2009,['Indie']
25900,King's Bounty: The Legend,1C Company,2008,"['RPG', 'Strategy']"
16200,Virtual Families,Last Day of Work,2009,"['Casual', 'Simulation']"
7840,Death Track®: Resurrection,Sky Fallen,2009,['Racing']
8890,Freedom Force vs. the Third Reich,Irrational Games,2005,"['RPG', 'Strategy']"
8880,Freedom Force,Irrational Games,2002,"['RPG', 'Strategy']"
34500,Light of Altair,SaintXi,2009,"['Indie', 'Simulation', 'Strategy']"
1280,Darkest Hour: Europe '44-'45,Darklight Games,2009,"['Action', 'Simulation']"
10150,Prototype™,Radical Entertainment,2009,"['Action', 'Adventure']"
29160,Blueberry Garden,Erik Svedäng,2009,"['Adventure', 'Indie']"
12470,Port Royale 2,Ascaron Entertainment ltd.,2004,['Strategy']
22340,Call of Cthulhu®: Dark Corners of the Earth,Headfirst Productions,2006,"['Adventure', 'Action']"
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,Bethesda Game Studios,2007,['RPG']
22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,Bethesda Game Studios,2002,['RPG']
900883,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,Bethesda Game Studios®,2009,"['RPG', 'Adventure', 'Action']"
12440,Ankh 2: Heart of Osiris,Deck 13,2007,['Adventure']
32710,Armored Fist 3,NovaLogic,1999,['Simulation']
32740,MiG-29 Fulcrum,NovaLogic,1998,['Simulation']
12460,BC Kings,Mascot Entertainment,2008,['Strategy']
21980,Call of Juarez®: Bound in Blood,Techland,2009,['Action']
31860,Nancy Drew®: Legend of the Crystal Skull,HeR Interactive,2007,['Adventure']
31900,Nancy Drew®: The Creature of Kapu Cave,HeR Interactive,2006,['Adventure']
31920,Nancy Drew®: The Phantom of Venice,HeR Interactive,2008,['Adventure']
31930,Nancy Drew®: The White Wolf of Icicle Creek,HeR Interactive,2007,['Adventure']
35800,BRAINPIPE: A Plunge to Unhumanity,Digital Eel,2008,"['Casual', 'Indie']"
12690,Hunting Unlimited 2010,"ValuSoft, Retroism",2009,"['Simulation', 'Sports']"
31170,Tales of Monkey Island Complete Pack,Telltale Games,2009,['Adventure']
21660,Street Fighter® IV,Capcom,2009,['Action']
6080,Thrillville®: Off the Rails™,Frontier,2007,"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']"
6010,Indiana Jones® and the Fate of Atlantis™,LucasArts,1992,['Adventure']
6090,Armed and Dangerous®,Planet Moon Studios,2003,['Action']
6060,"Star Wars: Battlefront 2 (Classic, 2005)",Pandemic Studios,2005,['Action']
32310,Indiana Jones® and the Last Crusade™,LucasArts,1989,['Adventure']
32330,LEGO® Indiana Jones™: The Original Adventures,Traveller's Tales,2008,"['Action', 'Adventure']"
32360,The Secret of Monkey Island: Special Edition,LucasArts,2009,['Adventure']
35300,Warfare,GFI Russia,2008,['Strategy']
35310,Clutch,Targem Games,2009,"['Action', 'Racing']"
31980,Nancy Drew®: Ransom of the Seven Ships,HeR Interactive,2009,['Adventure']
31990,Nancy Drew®: Ransom of the Seven Ships Demo,Her Interactive,2009,['Adventure']
10140,3D Ultra™ Minigolf Adventures,Wanako Games,2006,['Sports']
10100,King's Quest™ Collection,Sierra,2006,['Adventure']
10130,TimeShift™,Saber Interactive,2007,['Action']
10110,Space Quest™ Collection,Sierra,2006,['Adventure']
1256,Killing Floor Outbreak Character Pack,Tripwire Interactive,2009,['Action']
10120,Aces of the Galaxy™,Artech Studios,2008,"['Action', 'Casual']"
33520,Tropico Reloaded,"PopTop Software,BreakAway Games,Frog City Software",2009,"['Simulation', 'Strategy']"
3610,Mystery P.I. - Lost in Los Angeles,SpinTop Games,2009,['Casual']
21680,Bionic Commando: Rearmed,Capcom,2008,['Action']
21670,Bionic Commando,Capcom,2009,"['Action', 'Adventure']"
21030,Watchmen: The End is Nigh Part 2,Deadline Games,2009,['Action']
36000,Foreign Legion: Buckets of Blood,Sakari Indie,2009,"['Action', 'Indie']"
32370,STAR WARS™ - Knights of the Old Republic™,"BioWare,Aspyr (Mac)",2003,"['Adventure', 'RPG']"
29180,Osmos,Hemisphere Games,2009,"['Indie', 'Casual']"
38410,Fallout 2: A Post Nuclear Role Playing Game,Black Isle Studios,1998,['RPG']
38420,Fallout Tactics: Brotherhood of Steel,14° East,2001,['Strategy']
38430,Kingpin — Life of Crime,Xatrix Entertainment,1999,['Action']
38440,Sacrifice,Shiny Entertainment,2000,"['Strategy', 'RPG', 'Action']"
35050,Mini Ninjas Demo,IO Interactive,2009,"['Action', 'Adventure']"
31180,Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,Telltale Games,2009,['Adventure']
37960,Jewel Quest Pack,iWin,2009,['Casual']
38000,Mahjong Quest Collection,iWin,2009,['Casual']
37400,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",Size Five Games,2009,"['Adventure', 'Indie']"
13570,Tom Clancy's Splinter Cell Chaos Theory®,Ubisoft Montreal,2005,['Action']
11390,Crash Time 2,Meridian4,2009,"['Action', 'Racing']"
34420,XIII Century – Gold Edition,Unicorn Games Studio,2009,['Strategy']
43100,World of Zoo,Blue Fang,2009,['Simulation']
33730,18 Wheels of Steel: Extreme Trucker,"ValuSoft, Retroism",2009,['Simulation']
35000,Mini Ninjas,IO Interactive,2009,"['Action', 'Adventure']"
39392,Freeze Tag Fun Pack #2,"Freeze Tag Inc.,iQ212",2009,['Casual']
39391,Freeze Tag Fun Pack #1,"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment",1999,['Casual']
37600,Windosill,"Vectorpark, Inc.",2009,"['Adventure', 'Casual', 'Indie']"
24029,Train Simulator: Colton & Northern Route Add-On,All Aboard,2009,['Simulation']
32140,Midnight Mysteries,MumboJumbo,2009,"['Adventure', 'Casual']"
31190,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,Telltale Games,2009,['Adventure']
32770,Joint Operations: Combined Arms Gold,NovaLogic,2009,['Action']
208306,Train Simulator: US Loco & Asset Pack,Dovetail Games,2009,['Simulation']
37300,DinerTown Tycoon,PlayFirst,2009,['Simulation']
208300,Train Simulator: European Loco & Asset Pack,Dovetail Games,2009,['Simulation']
40300,Risen,Piranha Bytes,2009,['RPG']
35070,Flora's Fruit Farm,Honeyslug,2009,['Casual']
10606,Empire: Total War™ - The Warpath Campaign,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2009,['Strategy']
40700,Machinarium,Amanita Design,2009,"['Adventure', 'Indie']"
24840,Medal of Honor: Airborne,EA Los Angeles,2007,['Action']
24870,Need for Speed: Shift,Slightly Mad Studios,2009,['Racing']
41500,Torchlight,Runic Games,2009,['RPG']
24800,Command & Conquer: Red Alert 3 - Uprising,EA Los Angeles,2009,['Strategy']
901735,The Stronghold Collection,FireFly Studios,2009,['Strategy']
42800,East India Company: Privateer,Nitro Games,2009,['Strategy']
39560,Painkiller: Resurrection,Homegrown Games,2009,['Action']
39550,SpellForce 2 - Anniversary Edition,"Phenomic,THQ Nordic",2009,"['RPG', 'Strategy']"
40330,Secret Files: Tunguska,Animation Arts,2009,['Adventure']
40320,Rush for Berlin Gold,Stormregion,2009,['Strategy']
31200,Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,Telltale Games,2009,['Adventure']
3130,Men of War: Red Tide,1C Company,2009,['Strategy']
41100,Hammerfight,Konstantin Koshutin,2009,"['Action', 'Indie']"
39540,SpellForce - Platinum Edition,Phenomic,2009,"['Action', 'RPG']"
34640,Massive Assault: Phantom Renaissance,Wargaming.net,2005,['Strategy']
34630,Massive Assault,Wargaming.net,2003,['Strategy']
42200,Nancy Drew® Dossier: Resorting to Danger!,HeR Interactive,2009,['N/D']
41000,Serious Sam HD: The First Encounter,Croteam,2009,"['Action', 'Indie']"
40340,Secret Files 2: Puritas Cordis,Animation Arts,2009,['Adventure']
17450,Dragon Age: Origins,BioWare,2009,['RPG']
37100,Aztaka,Citeremis Inc.,2009,"['Action', 'RPG', 'Indie']"
37500,Magnetis,Yullaby,2009,"['Indie', 'Casual']"
42810,For The Glory: A Europa Universalis Game,Crystal Empire Games,2009,['Strategy']
10180,Call of Duty®: Modern Warfare® 2,"Infinity Ward,Aspyr (Mac)",2009,['Action']
32440,LEGO® Star Wars™ - The Complete Saga,"Traveller's Tales,Feral Interactive (Mac)",2009,['Adventure']
11450,Overlord™,"Triumph Studios,Virtual Programming",2007,['RPG']
12710,Overlord™: Raising Hell,"Triumph Studios,Virtual Programming",2008,['RPG']
24790,Command & Conquer 3: Tiberium Wars,EA Los Angeles,2007,['Strategy']
29120,Yumsters 2: Around the World,KranX Productions,2008,"['Indie', 'Casual']"
24810,Command & Conquer 3: Kane's Wrath,EA Los Angeles,2009,['Strategy']
41800,Gratuitous Space Battles,Positech Games,2009,"['Indie', 'Simulation', 'Strategy']"
