Id_juego,Nombre,Género
754360,Underdone - Soundtrack,"Action, Adventure, RPG, "
716110,Bitcoin Clicker,"Adventure, Casual, Indie, RPG, "
1640,Disciples II: Gallean's Return,"Strategy, "
1630,Disciples II: Rise of the Elves,"Strategy, "
2400,The Ship: Murder Party,"Action, Indie, RPG, "
662570,United Tactics,"Strategy, "
381620,Life of Rome,"Indie, Massively Multiplayer, RPG, Early Access, "
714020,Idle Adventure,"Adventure, Free to Play, RPG, Early Access, "
541930,Panoptic,"Action, Indie, "
759920,Souland,"Action, Indie, Strategy, Early Access, "
659780,Darkness and a Crowd,"Action, Adventure, Indie, RPG, Strategy, "
603280,TAROTICA VOO DOO,"Action, Adventure, Indie, RPG, "
753110,Chronicles of Vinland,"Casual, Strategy, Early Access, "
753100,Orbitality,"Action, Indie, "
769350,Medicalholodeck Personal Version,"Education, "
764280,Atomic Adam: Episode 1,"Action, Adventure, Casual, "
374970,Golf Masters,"Casual, Indie, Simulation, Sports, "
758550,Mirt. Tales of the Cold Land. Chapter 2,"Adventure, Casual, Free to Play, Indie, "
3800,Advent Rising,"Action, "
1520,DEFCON,"Indie, Strategy, "
2420,The Ship: Single Player,"Action, Indie, RPG, "
4000,Garry's Mod,"Indie, Simulation, "
4230,RACE - The WTCC Game,"Racing, "
4900,Zen of Sudoku,"Casual, Indie, "
2520,Gumboy - Crazy Adventures™,"Casual, Indie, "
6200,Ghost Master®,"Strategy, "
6210,Vegas: Make It Big™,"Strategy, "
6300,Dreamfall: The Longest Journey,"Adventure, RPG, "
2990,FlatOut 2™,"Racing, "
6220,FlatOut,"Racing, "
6510,Lost Planet™: Extreme Condition,"Action, Adventure, "
3980,CivCity: Rome,"Strategy, "
1700,Arx Fatalis,"RPG, "
6310,The Longest Journey,"Action, Adventure, RPG, "
3990,Civilization IV®: Warlords,"Strategy, "
7610,Railroad Tycoon 3,"Strategy, "
7600,Sid Meier's Railroads!,"Strategy, "
7620,Railroad Tycoon II Platinum,"Strategy, "
2540,RIP - Trilogy™,"Casual, Indie, "
7650,X-COM: Terror From the Deep,"Strategy, "
8000,Tomb Raider: Anniversary,"Action, Adventure, "
6550,Devil May Cry® 3 Special Edition,"Action, "
8200,Sam & Max 101: Culture Shock,"Action, Adventure, "
2290,Final DOOM,"Action, "
2570,Vigil: Blood Bitterness™,"Indie, RPG, "
8210,Sam & Max 102: Situation: Comedy,"Action, Adventure, "
2280,Ultimate Doom,"Action, "
9160,Master Levels for Doom II,"Action, "
2300,DOOM II,"Action, "
2270,Wolfenstein 3D,"Action, "
9010,Return to Castle Wolfenstein,"Action, "
9040,QUAKE Mission Pack 1: Scourge of Armagon,"Action, "
9000,Spear of Destiny,"Action, "
3810,BloodRayne,"Action, "
9030,QUAKE Mission Pack 2: Dissolution of Eternity,"Action, "
2310,QUAKE,"Action, "
3230,Genesis Rising,"Strategy, "
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault","Strategy, "
7670,BioShock™,"Action, RPG, "
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","Strategy, "
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade","Strategy, "
4760,Rome: Total War™ - Collection,"Strategy, "
4770,Rome: Total War™ - Alexander,"Strategy, "
50970,Mystery Case Files: Madame Fate®,"Casual, "
12170,Grand Theft Auto,"Action, "
12180,Grand Theft Auto 2,"Action, "
12130,Manhunt,"Action, "
12160,Midnight Club 2,"Racing, "
12150,Max Payne 2: The Fall of Max Payne,"Action, "
7000,Tomb Raider: Legend,"Action, Adventure, "
12140,Max Payne,"Action, "
17480,Command & Conquer: Red Alert 3,"Strategy, "
12500,PuzzleQuest: Challenge of the Warlords,"Casual, "
12310,Culpa Innata,"RPG, Casual, Adventure, "
12510,Prison Tycoon 3™: Lockdown,"Strategy, "
12530,Hunting Unlimited™ 2008,"Action, Adventure, Strategy, "
12520,18 Wheels of Steel: American Long Haul,"Racing, "
8100,Conflict: Denied Ops,"Action, "
2780,ARMA: Combat Operations,"Action, "
9730,Tycoon City: New York,"Simulation, "
9710,Desperados 2: Cooper's Revenge,"Action, "
9800,Death to Spies,"Action, Adventure, "
9760,Act of War: High Treason,"Action, "
2700,RollerCoaster Tycoon® 3: Platinum,"Simulation, Strategy, "
2710,Act of War: Direct Action,"Action, "
13200,Unreal 2: The Awakening,"Action, "
13250,Unreal Gold,"Action, "
13000,Ninja Reflex: Steamworks Edition,"Casual, Indie, "
13560,Tom Clancy's Splinter Cell®,"Action, "
13520,Far Cry®,"Action, "
13240,Unreal Tournament: Game of the Year Edition,"Action, "
13540,Tom Clancy's Rainbow Six® Vegas,"Action, "
15210,Silent Hunter® III,"Simulation, "
16180,Virtual Villagers - The Secret City,"Casual, Simulation, "
3520,Mystery P.I.™ - The Vegas Heist,"Casual, "
15970,Luxor,"Casual, "
15950,Reaxxion,"Casual, "
15960,Little Farm,"Casual, "
15900,7 Wonders II,"Casual, "
15910,Luxor Amun Rising,"Casual, "
15930,Luxor 3,"Casual, "
15160,Petz® Horsez® 2,"Simulation, "
15920,Luxor 2,"Casual, "
15080,Rayman Raving Rabbids™,"Action, Adventure, "
15200,Silent Hunter®: Wolves of the Pacific,"Simulation, "
15320,IL-2 Sturmovik: 1946,"Simulation, "
15240,Silent Hunter®: Wolves of the Pacific U-Boat Missions,"Simulation, "
8310,Bone: Out From Boneville,"Adventure, "
12600,Midnight Outlaw: 6 Hours to SunUp,"Racing, "
8320,Bone: The Great Cow Race,"Adventure, "
12590,Sprint Cars Road to Knoxville,"Racing, "
12580,Dr. Daisy Pet Vet,"Casual, "
12560,Ride! Carnival Tycoon,"Simulation, "
12570,Hot Dish,"Casual, "
12540,Mahjongg Investigations: Under Suspicion,"Casual, "
11050,Dracula Origin,"Adventure, "
10520,Beijing 2008™ - The Official Video Game of the Olympic Games,"Sports, "
11040,Sherlock Holmes - Nemesis,"Adventure, RPG, "
19500,Eternity's Child,"Adventure, Indie, "
11260,Pacific Storm Allies,"Simulation, Strategy, "
19200,Tank Universal,"Action, Indie, "
12360,FlatOut: Ultimate Carnage,"Racing, "
15710,Oddworld: Abe's Exoddus®,"Adventure, "
15700,Oddworld: Abe's Oddysee®,"Adventure, "
8660,GTR Evolution Expansion Pack for RACE 07,"Racing, "
7770,X-COM: Enforcer,"Strategy, "
7660,X-COM: Apocalypse,"Strategy, "
7760,X-COM: UFO Defense,"Strategy, "
20510,S.T.A.L.K.E.R.: Clear Sky,"Action, RPG, "
17330,Crysis Warhead®,"Action, "
17300,Crysis,"Action, "
7730,X-COM: Interceptor,"Strategy, "
20900,The Witcher: Enhanced Edition Director's Cut,"Action, RPG, "
1530,Multiwinia,"Indie, "
8690,STCC - The Game 1 - Expansion Pack for RACE 07,"Racing, "
17120,Children of the Nile: Alexandria,"Strategy, Simulation, "
16810,Sid Meier's Civilization IV: Colonization,"Strategy, "
19830,Tom Clancy's Rainbow Six® 3 Gold,"Action, "
21000,LEGO Batman,"Action, Adventure, "
4460,City Life 2008,"Simulation, Strategy, "
17140,Hinterland,"RPG, Strategy, "
15390,Brothers in Arms: Hell's Highway™,"Action, "
21300,Gravitron 2,"Indie, Casual, "
3050,Xpand Rally Xtreme,"Racing, "
15380,Heroes of Might & Magic V: Hammers of Fate,"Strategy, "
19800,Brothers in Arms: Earned in Blood™,"Action, "
15370,Heroes of Might & Magic V: Tribes of the East,"Strategy, "
19930,The Settlers®: Rise Of An Empire Gold Edition,"Strategy, "
15350,Brain Spa,"Casual, "
19810,The Sum of All Fears,"Action, "
3540,Peggle™ Nights,"Casual, "
22000,World of Goo,"Indie, "
2820,X3: Terran Conflict,"Action, Simulation, Strategy, "
1230,Mare Nostrum,"Action, "
18300,Spectraball,"Casual, Indie, "
20200,Galactic Bowling,"Indie, Casual, Sports, "
12200,Bully: Scholarship Edition,"Action, Adventure, "
19900,Far Cry® 2: Fortune's Edition,"Action, "
11240,Space Trader: Merchant Marine,"Action, Indie, Strategy, "
256522,PRR Wagon Pack 01,"Simulation, "
275144,"Class 421 London South East ""Jaffa Cake""","Simulation, "
256521,ATSF Wagon Pack 01,"Simulation, "
222569,GP20 Union Pacific Add-on Livery,"Simulation, "
256535,UK Van Wagon Pack,"Simulation, "
256611,CSX SD70MAC Add-on Livery,"Simulation, "
256576,CSX ES44AC Add-on Livery,"Simulation, "
9480,Saints Row 2,"Action, "
17470,Dead Space,"Action, "
12770,Rise of the Argonauts,"RPG, "
17410,Mirror's Edge™,"Action, Adventure, "
18500,Defense Grid: The Awakening,"Indie, Strategy, "
16450,F.E.A.R. 2: Project Origin,"Action, "
15400,Harvest: Massive Encounter,"Strategy, Indie, "
18600,Mayhem Intergalactic,"Indie, Strategy, "
11340,Larva Mortus,"Action, Indie, "
25830,Knights of Honor,"Strategy, "
23460,Ceville,"Action, Adventure, Strategy, "
10600,Empire: Total War™ - Special Forces Units & Bonus Content,"Strategy, "
21010,Watchmen: The End is Nigh,"Action, "
22180,Penumbra Overture,"Action, Adventure, Indie, "
13210,Unreal Tournament 3 Black,"Action, "
12640,Drakensang,"RPG, "
21600,Age of Booty™,"Casual, Strategy, "
27020,The Graveyard,"Indie, Simulation, "
24740,Burnout Paradise: The Ultimate Box,"Racing, "
90047,Zombie Master,"Action, "
26000,The Maw,"Action, Indie, "
26006,The Maw: River Redirect,"Action, Indie, "
26005,The Maw: Brute Force,"Action, Indie, "
11330,Obulis,"Casual, Indie, "
27800,Space Giraffe,"Indie, "
9850,Codename: Panzers - Cold War,"Simulation, Strategy, "
3600,Escape Rosecliff Island,"Casual, "
29580,Guild Wars Nightfall,"RPG, Massively Multiplayer, "
29540,Guild Wars,"RPG, Massively Multiplayer, "
29560,Guild Wars Factions,"RPG, Massively Multiplayer, "
29570,Guild Wars Trilogy,"Massively Multiplayer, RPG, "
23700,Puzzle Kingdoms,"Casual, "
16060,Samantha Swift and the Golden Touch,"Casual, "
1930,Two Worlds Epic Edition,"RPG, "
18470,Helldorado,"Strategy, "
7510,X-Blades,"Action, Adventure, RPG, "
22200,Zeno Clash,"Action, Indie, "
26007,The Maw: Speeder Lane,"Indie, "
25900,King's Bounty: The Legend,"RPG, Strategy, "
16200,Virtual Families,"Casual, Simulation, "
7840,Death Track®: Resurrection,"Racing, "
8890,Freedom Force vs. the Third Reich,"RPG, Strategy, "
8880,Freedom Force,"RPG, Strategy, "
34500,Light of Altair,"Indie, Simulation, Strategy, "
1280,Darkest Hour: Europe '44-'45,"Action, Simulation, "
10150,Prototype™,"Action, Adventure, "
29160,Blueberry Garden,"Adventure, Indie, "
12470,Port Royale 2,"Strategy, "
22340,Call of Cthulhu®: Dark Corners of the Earth,"Adventure, Action, "
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,"RPG, "
22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,"RPG, "
900883,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,"RPG, Adventure, Action, "
12440,Ankh 2: Heart of Osiris,"Adventure, "
32710,Armored Fist 3,"Simulation, "
32740,MiG-29 Fulcrum,"Simulation, "
12460,BC Kings,"Strategy, "
21980,Call of Juarez®: Bound in Blood,"Action, "
31860,Nancy Drew®: Legend of the Crystal Skull,"Adventure, "
31900,Nancy Drew®: The Creature of Kapu Cave,"Adventure, "
31920,Nancy Drew®: The Phantom of Venice,"Adventure, "
31930,Nancy Drew®: The White Wolf of Icicle Creek,"Adventure, "
35800,BRAINPIPE: A Plunge to Unhumanity,"Casual, Indie, "
12690,Hunting Unlimited 2010,"Simulation, Sports, "
31170,Tales of Monkey Island Complete Pack,"Adventure, "
21660,Street Fighter® IV,"Action, "
6080,Thrillville®: Off the Rails™,"Action, Adventure, Racing, Simulation, Strategy, "
6010,Indiana Jones® and the Fate of Atlantis™,"Adventure, "
6090,Armed and Dangerous®,"Action, "
6060,"Star Wars: Battlefront 2 (Classic, 2005)","Action, "
32310,Indiana Jones® and the Last Crusade™,"Adventure, "
32330,LEGO® Indiana Jones™: The Original Adventures,"Action, Adventure, "
32360,The Secret of Monkey Island: Special Edition,"Adventure, "
35300,Warfare,"Strategy, "
35310,Clutch,"Action, Racing, "
31980,Nancy Drew®: Ransom of the Seven Ships,"Adventure, "
31990,Nancy Drew®: Ransom of the Seven Ships Demo,"Adventure, "
10140,3D Ultra™ Minigolf Adventures,"Sports, "
10100,King's Quest™ Collection,"Adventure, "
10130,TimeShift™,"Action, "
10110,Space Quest™ Collection,"Adventure, "
1256,Killing Floor Outbreak Character Pack,"Action, "
10120,Aces of the Galaxy™,"Action, Casual, "
33520,Tropico Reloaded,"Simulation, Strategy, "
3610,Mystery P.I. - Lost in Los Angeles,"Casual, "
21680,Bionic Commando: Rearmed,"Action, "
21670,Bionic Commando,"Action, Adventure, "
21030,Watchmen: The End is Nigh Part 2,"Action, "
36000,Foreign Legion: Buckets of Blood,"Action, Indie, "
32370,STAR WARS™ - Knights of the Old Republic™,"Adventure, RPG, "
29180,Osmos,"Indie, Casual, "
38410,Fallout 2: A Post Nuclear Role Playing Game,"RPG, "
38420,Fallout Tactics: Brotherhood of Steel,"Strategy, "
38430,Kingpin — Life of Crime,"Action, "
38440,Sacrifice,"Strategy, RPG, Action, "
35050,Mini Ninjas Demo,"Action, Adventure, "
31180,Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,"Adventure, "
37960,Jewel Quest Pack,"Casual, "
38000,Mahjong Quest Collection,"Casual, "
37400,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack","Adventure, Indie, "
13570,Tom Clancy's Splinter Cell Chaos Theory®,"Action, "
11390,Crash Time 2,"Action, Racing, "
34420,XIII Century – Gold Edition,"Strategy, "
43100,World of Zoo,"Simulation, "
33730,18 Wheels of Steel: Extreme Trucker,"Simulation, "
35000,Mini Ninjas,"Action, Adventure, "
39392,Freeze Tag Fun Pack #2,"Casual, "
39391,Freeze Tag Fun Pack #1,"Casual, "
37600,Windosill,"Adventure, Casual, Indie, "
24029,Train Simulator: Colton & Northern Route Add-On,"Simulation, "
32140,Midnight Mysteries,"Adventure, Casual, "
31190,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,"Adventure, "
32770,Joint Operations: Combined Arms Gold,"Action, "
208306,Train Simulator: US Loco & Asset Pack,"Simulation, "
37300,DinerTown Tycoon,"Simulation, "
208300,Train Simulator: European Loco & Asset Pack,"Simulation, "
40300,Risen,"RPG, "
35070,Flora's Fruit Farm,"Casual, "
10606,Empire: Total War™ - The Warpath Campaign,"Strategy, "
40700,Machinarium,"Adventure, Indie, "
24840,Medal of Honor: Airborne,"Action, "
24870,Need for Speed: Shift,"Racing, "
41500,Torchlight,"RPG, "
24800,Command & Conquer: Red Alert 3 - Uprising,"Strategy, "
901735,The Stronghold Collection,"Strategy, "
42800,East India Company: Privateer,"Strategy, "
39560,Painkiller: Resurrection,"Action, "
39550,SpellForce 2 - Anniversary Edition,"RPG, Strategy, "
40330,Secret Files: Tunguska,"Adventure, "
40320,Rush for Berlin Gold,"Strategy, "
31200,Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,"Adventure, "
3130,Men of War: Red Tide,"Strategy, "
41100,Hammerfight,"Action, Indie, "
39540,SpellForce - Platinum Edition,"Action, RPG, "
34640,Massive Assault: Phantom Renaissance,"Strategy, "
34630,Massive Assault,"Strategy, "
42200,Nancy Drew® Dossier: Resorting to Danger!,"N/D, "
41000,Serious Sam HD: The First Encounter,"Action, Indie, "
40340,Secret Files 2: Puritas Cordis,"Adventure, "
17450,Dragon Age: Origins,"RPG, "
37100,Aztaka,"Action, RPG, Indie, "
37500,Magnetis,"Indie, Casual, "
42810,For The Glory: A Europa Universalis Game,"Strategy, "
10180,Call of Duty®: Modern Warfare® 2,"Action, "
32440,LEGO® Star Wars™ - The Complete Saga,"Adventure, "
11450,Overlord™,"RPG, "
12710,Overlord™: Raising Hell,"RPG, "
24790,Command & Conquer 3: Tiberium Wars,"Strategy, "
29120,Yumsters 2: Around the World,"Indie, Casual, "
24810,Command & Conquer 3: Kane's Wrath,"Strategy, "
41800,Gratuitous Space Battles,"Indie, Simulation, Strategy, "
45300,Wings of Prey,"Simulation, "
41900,The Bard's Tale,"Action, Adventure, RPG, "
35420,Defence Alliance 2,"Action, "
32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,"Action, "
25806,Europa Universalis III: Heir to the Throne,"N/D, "
22370,Fallout 3: Game of the Year Edition,"RPG, "
41802,Gratuitous Space Battles: The Tribe,"Strategy, Indie, Simulation, "
38080,Build-A-Lot,"Simulation, "
38090,Build-A-Lot 2: Town of the Year,"Simulation, "
38100,Build-A-Lot 3: Passport to Europe,"Simulation, "
38070,Coconut Queen,"Casual, Simulation, "
38210,Roogoo,"Casual, "
45700,Devil May Cry 4,"Action, Adventure, "
46410,Avencast: Rise of the Mage,"Action, Indie, RPG, "
38110,Build-A-Lot 4: Power Source,"Simulation, "
17570,"Pirates, Vikings, and Knights II","Action, Free to Play, Indie, "
38130,Farm Frenzy 2,"Casual, "
38160,Farm Frenzy 3: American Pie,"Casual, "
38150,Farm Frenzy 3,"Casual, "
38120,Farm Frenzy,"Casual, "
38140,Farm Frenzy: Pizza Party,"Casual, "
36300,Cake Mania Main Street™,"Casual, "
36310,Westward® IV: All Aboard,"Strategy, Casual, "
36320,Iron Roses,"Adventure, Casual, "
37030,UFO: Extraterrestrials Gold,"Strategy, "
32450,LEGO® Indiana Jones™ 2: The Adventure Continues,"Adventure, "
34180,Vancouver 2010™ - The Official Video Game of the Olympic Winter Games,"Sports, "
44100,Super Laser  Racer,"Action, Indie, Racing, "
25960,Hearts of Iron III: Soviet Infantry Pack DLC,"Strategy, "
46250,NecroVisioN: Lost Company,"Action, "
38180,Cradle of Persia,"Casual, "
10695,Aliens vs. Predator Swarm Map Pack,"Action, "
41050,Serious Sam Classic: The First Encounter,"Action, Indie, "
24055,Train Simulator: Fort Kent to Eagle Lake Route Add-On,"Simulation, "
48700,Mount & Blade: Warband,"Action, RPG, "
39900,Coniclysm,"Action, "
49900,Plain Sight,"Action, Indie, "
42120,Lead and Gold: Gangs of the Wild West,"Action, "
12220,Grand Theft Auto: Episodes from Liberty City,"Action, "
45730,Dark Void™ Zero,"Action, Adventure, "
45400,Fortix,"Indie, "
49600,Beat Hazard,"Action, Casual, Indie, "
901399,Sam & Max: The Devil’s Playhouse,"Adventure, "
43500,M.U.D. TV,"Simulation, Strategy, "
45302,Wings of Luftwaffe Add-on,"Simulation, "
40930,The Misadventures of P.B. Winterbottom,"Adventure, Indie, "
39640,AquaNox 2: Revelation,"Action, "
39630,AquaNox,"Action, "
23150,Fluttabyes,"Casual, Indie, "
50940,Hidden Expedition: Titanic,"Casual, "
50920,Hidden Expedition: Amazon,"Casual, Indie, "
34178,Napoleon: Total War™ - Coalition Battle Pack,"Strategy, "
37340,Fitness Dash™,"Casual, "
37390,Gemini Lost™,"Casual, "
37310,DinerTown Detective Agency™,"Casual, "
37360,Mahjong Roadshow™,"Casual, "
49000,Hotel Dash™ Suite Success™,"Casual, "
37330,Nightshift Legacy: The Jaguar's Eye™,"Casual, "
37320,The Nightshift Code™,"Casual, "
37370,TriJinx: A Kristine Kross Mystery™,"Casual, "
37380,Valerie Porter and the Scarlet Scandal™,"Casual, "
19080,Biozone,"Action, Adventure, Casual, "
31700,Iron Grip: Warlord,"Action, Indie, "
19030,Rocket Knight,"Action, Adventure, "
50820,Max and the Magic Marker,"Indie, "
49800,Flight of the Icarus,"Action, Indie, "
33650,Puzzler World,"Casual, "
901478,Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition,"Action, Adventure, "
33660,Ziro,"Casual, Indie, "
34281,Altered Beast™,"Action, "
34272,Comix Zone™,"Action, "
34270,SEGA Mega Drive and Genesis Classics,"Action, Adventure, Casual, RPG, "
34276,Golden Axe™,"Action, "
34274,Ecco the Dolphin™,"Action, "
34275,Gain Ground™,"Strategy, "
34277,Shinobi™ III: Return of the Ninja Master,"Action, "
34273,Crack Down™,"Action, "
34280,VectorMan™,"Action, "
34278,Sonic 3D Blast™,"N/D, "
34282,Shadow Dancer™,"Action, "
34279,Space Harrier™ II,"Action, "
34010,Alpha Protocol™,"Action, RPG, "
22610,Alien Breed: Impact,"Action, "
22440,Fallout 3 - Point Lookout,"RPG, "
18508,Defense Grid: Resurgence Map Pack 1,"Strategy, Indie, "
22430,Fallout 3 - Mothership Zeta,"RPG, "
22410,Fallout 3 - Broken Steel,"RPG, "
22420,Fallout 3 - The Pitt,"RPG, "
630,Alien Swarm,"Action, "
22400,Fallout 3 - Operation Anchorage,"RPG, "
24780,SimCity™ 4 Deluxe Edition,"Simulation, Strategy, "
33670,Disciples III - Renaissance Steam Special Edition,"Strategy, RPG, "
40420,Tidalis,"Casual, Indie, "
34920,Razor2: Hidden Skies,"Action, Casual, Indie, "
48136,The Settlers 7: Uncharted Land Map Pack,"Strategy, "
46720,Dimensity,"RPG, "
28000,Kane & Lynch 2: Dog Days,"Action, "
39680,The Guild II Renaissance,"Simulation, Strategy, "
25962,Hearts of Iron III DLC: German II Spritepack,"Strategy, "
24634,Trainz Simulator DLC: Blue Comet,"Simulation, "
63900,Fantasy Wars,"Strategy, "
50130,Mafia II,"Action, "
24075,Train Simulator: Network Southeast Class 47 Loco Add-On,"Simulation, "
47540,Puzzle Quest 2,"RPG, Casual, "
50510,Burn Zombie Burn!,"Action, "
25760,Madballs B*D*I Clan Skins,"Indie, "
25763,Madballs Scorched Evolution Skin Rollup,"Indie, "
25762,Madballs BDI Evolution Skin Rollup,"Indie, "
25764,Madballs Holiday Skin Rollup,"Indie, "
42980,Victoria I Complete,"Strategy, "
48800,Ship Simulator Extremes,"Simulation, "
22600,Worms Reloaded,"Strategy, "
46770,Making History II: The War of the World,"Indie, Simulation, Strategy, "
65700,Arma 2: British Armed Forces,"Action, Simulation, Strategy, "
42960,Victoria II,"Strategy, "
27930,Booster Trooper Demo,"Action, Indie, "
25761,Madballs Scorched Clan Skins,"Indie, "
28010,Kane & Lynch 2: The Doggie Bag,"Action, "
28012,Kane & Lynch 2: Multiplayer Masks Pack,"Action, "
24640,Trainz: Classic Cabon City,"Simulation, "
28011,Kane & Lynch 2: Alliance Weapon Pack,"Action, "
4850,Cossacks: Back to War,"Strategy, "
57640,Broken Sword: Director's Cut,"Adventure, "
62100,Chime,"Casual, "
50145,Mafia II DLC: Jimmy's Vendetta,"Action, "
34841,Sniper: Ghost Warrior - Map Pack,"Action, "
70300,VVVVVV,"Action, Indie, "
48137,The Settlers 7: Conquest - The Empire Expansion DLC,"Strategy, "
57300,Amnesia: The Dark Descent,"Action, Adventure, Indie, "
70400,Recettear: An Item Shop's Tale,"RPG, Indie, "
46600,Swarm Arena,"Action, Casual, Indie, "
34314,Super Thunder Blade™,"Action, Simulation, "
34310,Galaxy Force II™,"Action, "
70100,Hacker Evolution,"Simulation, "
70110,Hacker Evolution: Untold,"Indie, Simulation, "
38600,Faerie Solitaire,"Casual, Indie, "
57620,Patrician IV - Steam Special Edition,"Strategy, "
34284,Bonanza Bros.™,"Action, "
63910,King's Bounty: Crossworlds,"RPG, Strategy, "
24082,Train Simulator: Green & Gold HST DMU Add-On,"Simulation, "
8930,Sid Meier's Civilization® V,"Strategy, "
49310,Commander: Conquest of the Americas - Colonial Navy,"Strategy, "
41060,Serious Sam Classic: The Second Encounter,"Action, Indie, "
70900,Star Ruler,"Indie, Strategy, "
9940,Blade Kitten,"Action, Adventure, "
22650,Alien Breed 2: Assault,"Action, "
901553,Serious Sam HD: Gold Edition,"Action, "
50620,Darksiders™,"Action, Adventure, "
2840,X: Beyond the Frontier,"Simulation, Strategy, "
42920,The Kings' Crusade,"Strategy, "
29700,Guild Wars: Eye of the North®,"Action, RPG, Massively Multiplayer, "
2850,X: Tension,"Simulation, Strategy, "
61510,Age of Wonders II: The Wizard's Throne,"RPG, Strategy, "
70200,Governor of Poker 2,"Adventure, Casual, Simulation, "
70210,Governor of Poker 2 - Premium Edition,"Adventure, Casual, Indie, Simulation, "
61520,Age of Wonders Shadow Magic,"RPG, Strategy, "
61500,Age of Wonders,"RPG, Strategy, "
47790,Medal of Honor™,"Action, "
46450,Grotesque Tactics: Evil Heroes,"Indie, RPG, Strategy, "
45750,Lost Planet® 2,"Action, Adventure, "
57800,Doc Clock: The Toasted Sandwich of Time,"Adventure, Casual, Indie, "
22380,Fallout: New Vegas,"Action, RPG, "
67000,The Polynomial - Space of the music,"Action, Casual, Indie, "
80300,Puzzle Bots,"Adventure, Indie, "
50000,Nimbus,"Indie, Racing, "
16868,Civilization V - Babylon (Nebuchadnezzar II),"Strategy, "
18040,DeathSpank,"Action, Indie, RPG, "
71115,Virtua Fighter™ 2,"Action, Simulation, "
34317,Columns™ III,"Casual, "
71114,Sword of Vermilion™,"RPG, "
71112,Golden Axe™ II,"Action, "
71113,Sonic The Hedgehog,"Action, Adventure, "
71111,Flicky™,"N/D, "
71110,ESWAT™: City Under Siege,"Action, "
34319,Ecco™: The Tides of Time,"Adventure, "
34318,Decap Attack™,"N/D, "
34316,Bio-Hazard Battle™,"Action, "
34315,Alien Storm,"Action, "
6120,Shank,"Action, Indie, "
35460,The Ball,"Action, Adventure, Indie, "
32500,STAR WARS™: The Force Unleashed™ II,"Action, "
